Title,Description,Display Prompt,Prompt Text,Products,Department,Task Type,Locale
Stakeholder meeting prep,From project-leadership.md (Stakeholder Meeting Prep - PM). Guardrail: prep notes from comms only; no invented commitments; for the PM's prep.,Prep me for a stakeholder meeting using recent correspondence: open items and likely topics.,"I have a meeting with [Stakeholder Name] about [Project Name] tomorrow. Based on our recent correspondence in my emails and Teams, prepare briefing notes covering: what topics they are likely to raise, recent questions of theirs that still need follow-up, any unresolved issues or complaints, and positive developments I can highlight. Use only what is in the messages, mark anything missing as [VERIFY], and do not invent commitments. This is for my preparation only.","Copilot web, Copilot work",Project Management,Prepare,en-US
Decision context research,"From project-leadership.md (Decision Context Research). Guardrail: compiles context only; Copilot informs, the leader decides; no recommendation.","Gather the background on a topic before I decide: prior discussion, options, risks raised.","I need to make a decision about [topic]. Search my emails, Teams, and files for context and compile: previous discussions on this topic, options that have already been considered, recommendations my team has made, and risks or concerns that were raised. Use only what is actually there and mark gaps as [VERIFY]. Do not recommend a choice or make the decision. Present this as background for my decision-making.","Copilot web, Copilot work",Project Management,Find,en-US
Change order email scan,"From project-leadership.md (Change Order History). Guardrail: surfaces informal mentions to cross-check the register; no approval, no invented figures.",Find informal change order discussions in my emails to cross-check the formal register.,"Find all emails and documents related to change orders on [Project Name] from [date range]. For each change order mentioned, list: the change order reference if one is stated, a brief description of the scope change, the status discussed (pending, approved, or rejected), and any cost or schedule impact mentioned. Use only what the messages say, mark anything unstated as [VERIFY], and do not invent references or amounts. I need this to cross-reference against our formal change register; it does not approve anything.","Copilot web, Copilot work",Project Management,Find,en-US
Incident post-mortem timeline,"From it-service-desk.md (Post-Incident Review Prep). Guardrail: factual blameless timeline only; no fault, no root cause, no conclusions. Team decides.","Build a factual, blameless incident timeline from emails and Teams for the team's review.","Act as my post-incident review assistant. For the incident on [date / system], gather from my emails and Teams a factual, blameless timeline. Work only from what the messages actually say. Where a time, action, or owner is not recorded, write ""not found"" or [VERIFY], and never invent a time, a name, an action, or a cause.

Produce:
1. Detection: when it was first noticed and by whom.
2. Timeline of actions: each action taken, the time, and who reported taking it, in order.
3. Communications: updates sent, when, and to whom.
4. Restoration: when service was confirmed restored, per the messages.
5. Open questions: gaps in the record the team will need to fill, marked [VERIFY].

Keep it strictly factual and blameless. Do not attribute fault, do not state a root cause, and do not draw conclusions or recommend fixes. Those are for the team to decide in the review. This is preparation for the team's post-incident review, not its findings. Do not publish it.","Copilot web, Copilot work",IT,Prepare,en-US
Change / maintenance notice,PIN: From it-service-desk.md (Change / Maintenance Communication Draft). Guardrail: draft from provided details only; no invented dates/impact; human approves before sending.,"Draft a plain-language user notice for a planned change or maintenance window, for review.","Act as my IT communications assistant. Draft a clear, non-technical notification for end users about [planned change or maintenance window]. Use only the details I give you here: [paste window, impact, and actions]. Do not invent a date, a time, an impact level, or a contact. Where a detail is missing, leave a clearly marked placeholder like [INSERT WINDOW] or [VERIFY].

Structure the notice as:
1. What is happening and why, in plain language.
2. When it happens (the window) and the expected impact on users.
3. What users need to do, if anything.
4. Who to contact for help.

Keep the tone calm, plain, and reassuring. No jargon, no speculation, no promises about outcomes I have not stated. This is a draft for me to review and approve before it is sent. Do not send it or post it anywhere.","Copilot web, Copilot work",IT,Create,en-US
Outage status update,From it-service-desk.md (Outage Communication Draft). Guardrail: no invented root cause or restoration time; draft only; human reviews before publishing.,"Draft a calm service-status update during an outage from my notes, no speculation on cause.","Act as my service-status communications assistant. Draft a status update about [system] being [degraded / unavailable]. Use only the facts I provide here: [paste what is known, any workaround, and the next update time]. Do not invent a root cause, a restoration time, or an impact figure. Where I have not given you something, leave a marked placeholder like [NEXT UPDATE TIME] or write [VERIFY].

Structure the update as:
1. What users are currently experiencing.
2. What we know and what we are doing, drawn only from my notes.
3. Workaround, if one exists in my notes.
4. When the next update will be posted.

Keep it plain, calm, and reassuring, with no speculation about the cause and no guesses at when it will be fixed. This is a draft for me to review before it is published. Do not publish it.","Copilot web, Copilot work",IT,Create,en-US
Monthly service review prep,"From it-service-desk.md (SLA / Service Report Prep). Guardrail: gathers narrative context only; all SLA/availability metrics come from ITSM, never calculated.",Gather context for my service review from emails and Teams. Authoritative metrics come from ITSM.,"Act as my service-review assistant. For my [weekly / monthly] service review of [service], gather context from my emails and Teams. Work only from what is written there. Where something is not stated, write ""not found"" or [VERIFY], and never invent incident counts, ticket numbers, dates, or names.

Compile, with sources:
1. Major incidents and their reported impact, with dates.
2. Changes that were implemented during the period.
3. Recurring complaints or praise from users.
4. Outstanding actions and who owns them.
5. Anything unclear or contested, flagged as [VERIFY].

Do not calculate or estimate SLA percentages, availability, mean-time-to-resolve, or any metric. The authoritative numbers come from the ITSM and monitoring tools, not from these messages; leave placeholders like [INSERT SLA FROM ITSM] where a metric belongs. This is context for me to build my report on and verify. Do not send it.","Copilot web, Copilot work",IT,Catch up,en-US
Incident history search,"From it-service-desk.md (Incident History Search). Guardrail: research only; Copilot researches, IT verifies and acts; no live remediation.",Find how we handled similar past incidents to inform troubleshooting. Verify before acting.,"Search my emails and Teams for previous incidents related to [system or application] or [error type]. Compile: incident descriptions, root causes that were identified, resolutions that were applied, and any documented workarounds. Use only what the messages say, note where details are missing as [VERIFY], and do not invent fixes or causes. This is research for troubleshooting only. I will verify applicability to the current issue before taking any action.","Copilot web, Copilot work",IT,Find,en-US
Doc currency check,From it-service-desk.md (Technical Documentation Search). Guardrail: locates and dates docs only; IT verifies currency before relying on them.,Find runbooks or SOPs for a system in SharePoint and show when they were last updated.,"Find runbooks, SOPs, or technical documentation in SharePoint related to [system or process]. List each document with its title and location, the last update date if visible, and the topics it covers. Use only what you actually find, and mark anything you cannot confirm as [VERIFY] rather than guessing. I need this to check whether our documentation is current; I will verify each document before relying on it.","Copilot web, Copilot work",IT,Find,en-US
Vendor support summary,From it-service-desk.md (Vendor Support Summary). Guardrail: compiles correspondence only to prep an escalation; no invented ticket numbers or commitments.,"Compile our support history with a vendor on an issue, to prepare an escalation.","Search my emails for correspondence with [vendor] support about [issue or product]. Summarize: the issues reported, the vendor's responses and recommendations, any ticket numbers mentioned, and the current resolution status. Use only what the emails say, mark anything unstated as [VERIFY], and do not invent ticket numbers, dates, or commitments. I need this to prepare an escalation; it does not make any decision.","Copilot web, Copilot work",IT,Catch up,en-US
